Motivo del viaje;Tipo de dato;Periodo;Total
Ocio, recreo y vacaciones;Dato base;2018M05;7.149.584
Ocio, recreo y vacaciones;Dato base;2018M04;5.782.796
Ocio, recreo y vacaciones;Dato base;2018M03;4.341.659
Ocio, recreo y vacaciones;Dato base;2018M02;3.458.372
Ocio, recreo y vacaciones;Dato base;2018M01;3.462.200
Negocio, motivos profesionales;Dato base;2022M12;282.800
Negocio, motivos profesionales;Dato base;2022M11;424.499
Negocio, motivos profesionales;Dato base;2022M10;552.119
Negocio, motivos profesionales;Dato base;2022M09;491.244
Negocio, motivos profesionales;Dato base;2022M08;230.308
Negocio, motivos profesionales;Dato base;2022M07;298.116
Negocio, motivos profesionales;Dato base;2022M06;430.281
Negocio, motivos profesionales;Dato base;2022M05;542.405
Negocio, motivos profesionales;Dato base;2022M04;417.369
Negocio, motivos profesionales;Dato base;2022M03;366.007
Negocio, motivos profesionales;Dato base;2022M02;227.395
Negocio, motivos profesionales;Dato base;2022M01;148.350
Negocio, motivos profesionales;Dato base;2021M12;220.570
Negocio, motivos profesionales;Dato base;2021M11;252.041
Negocio, motivos profesionales;Dato base;2021M10;290.320
Negocio, motivos profesionales;Dato base;2021M09;256.046
Negocio, motivos profesionales;Dato base;2021M08;110.660
Negocio, motivos profesionales;Dato base;2021M07;181.782
Negocio, motivos profesionales;Dato base;2021M06;190.247
Negocio, motivos profesionales;Dato base;2021M05;180.473
Negocio, motivos profesionales;Dato base;2021M04;133.412
Negocio, motivos profesionales;Dato base;2021M03;134.405
Negocio, motivos profesionales;Dato base;2021M02;65.992
Negocio, motivos profesionales;Dato base;2021M01;60.272
Negocio, motivos profesionales;Dato base;2020M12;103.055
Negocio, motivos profesionales;Dato base;2020M11;80.992
Negocio, motivos profesionales;Dato base;2020M10;70.468
Negocio, motivos profesionales;Dato base;2020M09;74.877
Negocio, motivos profesionales;Dato base;2020M08;45.800
Negocio, motivos profesionales;Dato base;2020M07;97.400
Negocio, motivos profesionales;Dato base;2020M06;12.680
Negocio, motivos profesionales;Dato base;2020M05;0
Negocio, motivos profesionales;Dato base;2020M04;0
Negocio, motivos profesionales;Dato base;2020M03;137.113
Negocio, motivos profesionales;Dato base;2020M02;353.616
Negocio, motivos profesionales;Dato base;2020M01;370.060
Negocio, motivos profesionales;Dato base;2019M12;384.744
Negocio, motivos profesionales;Dato base;2019M11;490.102
Negocio, motivos profesionales;Dato base;2019M10;577.666
Negocio, motivos profesionales;Dato base;2019M09;514.014
Negocio, motivos profesionales;Dato base;2019M08;186.837
Negocio, motivos profesionales;Dato base;2019M07;425.815
Negocio, motivos profesionales;Dato base;2019M06;589.064
Negocio, motivos profesionales;Dato base;2019M05;544.991
Negocio, motivos profesionales;Dato base;2019M04;440.058
Negocio, motivos profesionales;Dato base;2019M03;487.217
Negocio, motivos profesionales;Dato base;2019M02;426.478
Negocio, motivos profesionales;Dato base;2019M01;342.198
Negocio, motivos profesionales;Dato base;2018M12;321.116
Negocio, motivos profesionales;Dato base;2018M11;445.118
Negocio, motivos profesionales;Dato base;2018M10;525.779
Negocio, motivos profesionales;Dato base;2018M09;507.364
Negocio, motivos profesionales;Dato base;2018M08;165.191
Negocio, motivos profesionales;Dato base;2018M07;337.017
Negocio, motivos profesionales;Dato base;2018M06;492.467
Negocio, motivos profesionales;Dato base;2018M05;422.922
Negocio, motivos profesionales;Dato base;2018M04;514.279
Negocio, motivos profesionales;Dato base;2018M03;586.826
Negocio, motivos profesionales;Dato base;2018M02;435.131
Negocio, motivos profesionales;Dato base;2018M01;270.147
Otros motivos;Dato base;2022M12;524.968
Otros motivos;Dato base;2022M11;355.669
Otros motivos;Dato base;2022M10;496.451
Otros motivos;Dato base;2022M09;412.013
Otros motivos;Dato base;2022M08;461.963
Otros motivos;Dato base;2022M07;488.782
Otros motivos;Dato base;2022M06;399.647
Otros motivos;Dato base;2022M05;514.663
Otros motivos;Dato base;2022M04;483.979
Otros motivos;Dato base;2022M03;315.242
Otros motivos;Dato base;2022M02;319.521
Otros motivos;Dato base;2022M01;343.836
Otros motivos;Dato base;2021M12;381.272
Otros motivos;Dato base;2021M11;294.178
Otros motivos;Dato base;2021M10;338.852
Otros motivos;Dato base;2021M09;286.018
Otros motivos;Dato base;2021M08;327.580
Otros motivos;Dato base;2021M07;346.108
Otros motivos;Dato base;2021M06;250.299
Otros motivos;Dato base;2021M05;176.503
Otros motivos;Dato base;2021M04;104.992
Otros motivos;Dato base;2021M03;89.457
Otros motivos;Dato base;2021M02;56.408
Otros motivos;Dato base;2021M01;102.776
Otros motivos;Dato base;2020M12;160.521
Otros motivos;Dato base;2020M11;80.175
Otros motivos;Dato base;2020M10;149.352
Otros motivos;Dato base;2020M09;161.404
Otros motivos;Dato base;2020M08;225.822
Otros motivos;Dato base;2020M07;245.263
Otros motivos;Dato base;2020M06;23.958
Otros motivos;Dato base;2020M05;0
Otros motivos;Dato base;2020M04;0
Otros motivos;Dato base;2020M03;203.030
Otros motivos;Dato base;2020M02;418.978
Otros motivos;Dato base;2020M01;385.013
Otros motivos;Dato base;2019M12;386.836
Otros motivos;Dato base;2019M11;349.069
Otros motivos;Dato base;2019M10;381.809
Otros motivos;Dato base;2019M09;383.584
Otros motivos;Dato base;2019M08;480.080
Otros motivos;Dato base;2019M07;471.808
Otros motivos;Dato base;2019M06;427.213
Otros motivos;Dato base;2019M05;456.226
Otros motivos;Dato base;2019M04;493.409
Otros motivos;Dato base;2019M03;477.059
Otros motivos;Dato base;2019M02;403.364
Otros motivos;Dato base;2019M01;413.090
Otros motivos;Dato base;2018M12;462.275
Otros motivos;Dato base;2018M11;328.388
Otros motivos;Dato base;2018M10;416.656
Otros motivos;Dato base;2018M09;437.884
Otros motivos;Dato base;2018M08;639.841
Otros motivos;Dato base;2018M07;612.908
Otros motivos;Dato base;2018M06;553.709
Otros motivos;Dato base;2018M05;513.543
Otros motivos;Dato base;2018M04;483.303
Otros motivos;Dato base;2018M03;464.702
Otros motivos;Dato base;2018M02;324.544
Otros motivos;Dato base;2018M01;374.254
